Zone,Current Availability,Day of Week,time,month,Family Weekend,Home Football Game,Labor Day
22,1458,0,0,9,0,0,1
13,445,0,0,9,0,0,1
19,628,0,0,9,0,0,1
4,397,0,0,9,0,0,1
27,84,0,0,9,0,0,1
40,13,0,0,9,0,0,1
12,559,0,0,9,0,0,1
6,54,0,0,9,0,0,1
30,2,0,0,9,0,0,1
32,4,0,0,9,0,0,1
34,2,0,0,9,0,0,1
36,3,0,0,9,0,0,1
28,4,0,0,9,0,0,1
39,4,0,0,9,0,0,1
29,31,0,0,9,0,0,1
31,8,0,0,9,0,0,1
33,13,0,0,9,0,0,1
35,12,0,0,9,0,0,1
37,14,0,0,9,0,0,1
38,17,0,0,9,0,0,1
22,1458,0,1,9,0,0,1
13,445,0,1,9,0,0,1
19,628,0,1,9,0,0,1
4,397,0,1,9,0,0,1
27,84,0,1,9,0,0,1
40,13,0,1,9,0,0,1
12,559,0,1,9,0,0,1
6,54,0,1,9,0,0,1
30,2,0,1,9,0,0,1
32,4,0,1,9,0,0,1
34,2,0,1,9,0,0,1
36,3,0,1,9,0,0,1
28,4,0,1,9,0,0,1
39,4,0,1,9,0,0,1
29,31,0,1,9,0,0,1
31,8,0,1,9,0,0,1
33,13,0,1,9,0,0,1
35,12,0,1,9,0,0,1
37,14,0,1,9,0,0,1
38,17,0,1,9,0,0,1
22,1458,0,2,9,0,0,1
13,445,0,2,9,0,0,1
19,628,0,2,9,0,0,1
4,397,0,2,9,0,0,1
27,84,0,2,9,0,0,1
40,13,0,2,9,0,0,1
12,559,0,2,9,0,0,1
6,54,0,2,9,0,0,1
30,2,0,2,9,0,0,1
32,4,0,2,9,0,0,1
34,2,0,2,9,0,0,1
36,3,0,2,9,0,0,1
28,4,0,2,9,0,0,1
39,4,0,2,9,0,0,1
29,31,0,2,9,0,0,1
31,8,0,2,9,0,0,1
33,13,0,2,9,0,0,1
35,12,0,2,9,0,0,1
37,14,0,2,9,0,0,1
38,17,0,2,9,0,0,1
22,1458,0,3,9,0,0,1
13,445,0,3,9,0,0,1
19,628,0,3,9,0,0,1
4,397,0,3,9,0,0,1
27,84,0,3,9,0,0,1
40,13,0,3,9,0,0,1
12,559,0,3,9,0,0,1
6,54,0,3,9,0,0,1
30,2,0,3,9,0,0,1
32,4,0,3,9,0,0,1
34,2,0,3,9,0,0,1
36,3,0,3,9,0,0,1
28,4,0,3,9,0,0,1
39,4,0,3,9,0,0,1
29,31,0,3,9,0,0,1
31,8,0,3,9,0,0,1
33,13,0,3,9,0,0,1
35,12,0,3,9,0,0,1
37,14,0,3,9,0,0,1
38,17,0,3,9,0,0,1
22,1458,0,4,9,0,0,1
13,445,0,4,9,0,0,1
19,628,0,4,9,0,0,1
4,397,0,4,9,0,0,1
27,84,0,4,9,0,0,1
40,13,0,4,9,0,0,1
12,559,0,4,9,0,0,1
6,54,0,4,9,0,0,1
30,2,0,4,9,0,0,1
32,4,0,4,9,0,0,1
34,2,0,4,9,0,0,1
36,3,0,4,9,0,0,1
28,4,0,4,9,0,0,1
39,4,0,4,9,0,0,1
29,31,0,4,9,0,0,1
31,8,0,4,9,0,0,1
33,13,0,4,9,0,0,1
35,12,0,4,9,0,0,1
37,14,0,4,9,0,0,1
38,17,0,4,9,0,0,1
22,1458,0,5,9,0,0,1
13,445,0,5,9,0,0,1
19,628,0,5,9,0,0,1
4,397,0,5,9,0,0,1
27,84,0,5,9,0,0,1
40,13,0,5,9,0,0,1
12,559,0,5,9,0,0,1
6,54,0,5,9,0,0,1
30,2,0,5,9,0,0,1
32,4,0,5,9,0,0,1
34,2,0,5,9,0,0,1
36,3,0,5,9,0,0,1
28,4,0,5,9,0,0,1
39,4,0,5,9,0,0,1
29,31,0,5,9,0,0,1
31,8,0,5,9,0,0,1
33,13,0,5,9,0,0,1
35,12,0,5,9,0,0,1
37,14,0,5,9,0,0,1
38,17,0,5,9,0,0,1
22,1458,0,6,9,0,0,1
13,445,0,6,9,0,0,1
19,628,0,6,9,0,0,1
4,397,0,6,9,0,0,1
27,84,0,6,9,0,0,1
40,13,0,6,9,0,0,1
12,559,0,6,9,0,0,1
6,55,0,6,9,0,0,1
30,2,0,6,9,0,0,1
32,4,0,6,9,0,0,1
34,2,0,6,9,0,0,1
36,3,0,6,9,0,0,1
28,4,0,6,9,0,0,1
39,4,0,6,9,0,0,1
29,31,0,6,9,0,0,1
31,8,0,6,9,0,0,1
33,13,0,6,9,0,0,1
35,12,0,6,9,0,0,1
37,14,0,6,9,0,0,1
38,17,0,6,9,0,0,1
22,1458,0,7,9,0,0,1
13,445,0,7,9,0,0,1
19,628,0,7,9,0,0,1
4,397,0,7,9,0,0,1
27,84,0,7,9,0,0,1
40,13,0,7,9,0,0,1
12,559,0,7,9,0,0,1
6,55,0,7,9,0,0,1
30,2,0,7,9,0,0,1
32,4,0,7,9,0,0,1
34,2,0,7,9,0,0,1
36,3,0,7,9,0,0,1
28,4,0,7,9,0,0,1
39,4,0,7,9,0,0,1
29,31,0,7,9,0,0,1
31,8,0,7,9,0,0,1
33,13,0,7,9,0,0,1
35,12,0,7,9,0,0,1
37,14,0,7,9,0,0,1
38,17,0,7,9,0,0,1
22,1458,0,8,9,0,0,1
13,445,0,8,9,0,0,1
19,628,0,8,9,0,0,1
4,397,0,8,9,0,0,1
27,84,0,8,9,0,0,1
40,13,0,8,9,0,0,1
12,559,0,8,9,0,0,1
6,55,0,8,9,0,0,1
30,2,0,8,9,0,0,1
32,4,0,8,9,0,0,1
34,2,0,8,9,0,0,1
36,3,0,8,9,0,0,1
28,4,0,8,9,0,0,1
39,4,0,8,9,0,0,1
29,31,0,8,9,0,0,1
31,8,0,8,9,0,0,1
33,13,0,8,9,0,0,1
35,12,0,8,9,0,0,1
37,14,0,8,9,0,0,1
38,17,0,8,9,0,0,1
22,1458,0,9,9,0,0,1
13,445,0,9,9,0,0,1
19,628,0,9,9,0,0,1
4,397,0,9,9,0,0,1
27,84,0,9,9,0,0,1
40,13,0,9,9,0,0,1
12,559,0,9,9,0,0,1
6,55,0,9,9,0,0,1
30,2,0,9,9,0,0,1
32,4,0,9,9,0,0,1
34,2,0,9,9,0,0,1
36,3,0,9,9,0,0,1
28,4,0,9,9,0,0,1
39,4,0,9,9,0,0,1
29,31,0,9,9,0,0,1
31,8,0,9,9,0,0,1
33,13,0,9,9,0,0,1
35,12,0,9,9,0,0,1
37,14,0,9,9,0,0,1
38,17,0,9,9,0,0,1
22,1458,0,10,9,0,0,1
13,445,0,10,9,0,0,1
19,628,0,10,9,0,0,1
4,397,0,10,9,0,0,1
27,84,0,10,9,0,0,1
40,13,0,10,9,0,0,1
12,559,0,10,9,0,0,1
6,55,0,10,9,0,0,1
30,2,0,10,9,0,0,1
32,4,0,10,9,0,0,1
34,2,0,10,9,0,0,1
36,3,0,10,9,0,0,1
28,4,0,10,9,0,0,1
39,4,0,10,9,0,0,1
29,31,0,10,9,0,0,1
31,8,0,10,9,0,0,1
33,13,0,10,9,0,0,1
35,12,0,10,9,0,0,1
37,14,0,10,9,0,0,1
38,17,0,10,9,0,0,1
22,1458,0,11,9,0,0,1
13,445,0,11,9,0,0,1
19,628,0,11,9,0,0,1
4,397,0,11,9,0,0,1
27,84,0,11,9,0,0,1
40,13,0,11,9,0,0,1
12,559,0,11,9,0,0,1
6,55,0,11,9,0,0,1
30,2,0,11,9,0,0,1
32,4,0,11,9,0,0,1
34,2,0,11,9,0,0,1
36,3,0,11,9,0,0,1
28,4,0,11,9,0,0,1
39,4,0,11,9,0,0,1
29,31,0,11,9,0,0,1
31,8,0,11,9,0,0,1
33,13,0,11,9,0,0,1
35,12,0,11,9,0,0,1
37,14,0,11,9,0,0,1
38,17,0,11,9,0,0,1
22,1458,0,12,9,0,0,1
13,445,0,12,9,0,0,1
19,628,0,12,9,0,0,1
4,397,0,12,9,0,0,1
27,84,0,12,9,0,0,1
40,13,0,12,9,0,0,1
12,559,0,12,9,0,0,1
6,55,0,12,9,0,0,1
30,2,0,12,9,0,0,1
32,4,0,12,9,0,0,1
34,2,0,12,9,0,0,1
36,3,0,12,9,0,0,1
28,4,0,12,9,0,0,1
39,4,0,12,9,0,0,1
29,31,0,12,9,0,0,1
31,8,0,12,9,0,0,1
33,13,0,12,9,0,0,1
35,12,0,12,9,0,0,1
37,14,0,12,9,0,0,1
38,17,0,12,9,0,0,1
22,1458,0,13,9,0,0,1
13,445,0,13,9,0,0,1
19,628,0,13,9,0,0,1
4,397,0,13,9,0,0,1
27,84,0,13,9,0,0,1
40,13,0,13,9,0,0,1
12,559,0,13,9,0,0,1
6,55,0,13,9,0,0,1
30,2,0,13,9,0,0,1
