Zone,Timestamp,Current Availability,Day of Week,time,month,Family Weekend,Home Football Game,Labor Day
22,2024-09-02 00:00:26,1458,0,0,9,0,0,1
13,2024-09-02 00:00:26,445,0,0,9,0,0,1
19,2024-09-02 00:00:26,628,0,0,9,0,0,1
4,2024-09-02 00:00:26,397,0,0,9,0,0,1
27,2024-09-02 00:00:26,84,0,0,9,0,0,1
40,2024-09-02 00:00:27,13,0,0,9,0,0,1
12,2024-09-02 00:00:27,559,0,0,9,0,0,1
6,2024-09-02 00:00:27,54,0,0,9,0,0,1
30,2024-09-02 00:00:27,2,0,0,9,0,0,1
32,2024-09-02 00:00:27,4,0,0,9,0,0,1
34,2024-09-02 00:00:27,2,0,0,9,0,0,1
36,2024-09-02 00:00:27,3,0,0,9,0,0,1
28,2024-09-02 00:00:27,4,0,0,9,0,0,1
39,2024-09-02 00:00:27,4,0,0,9,0,0,1
29,2024-09-02 00:00:27,31,0,0,9,0,0,1
31,2024-09-02 00:00:27,8,0,0,9,0,0,1
33,2024-09-02 00:00:27,13,0,0,9,0,0,1
35,2024-09-02 00:00:27,12,0,0,9,0,0,1
37,2024-09-02 00:00:27,14,0,0,9,0,0,1
38,2024-09-02 00:00:27,17,0,0,9,0,0,1
22,2024-09-02 00:01:27,1458,0,1,9,0,0,1
13,2024-09-02 00:01:27,445,0,1,9,0,0,1
19,2024-09-02 00:01:27,628,0,1,9,0,0,1
4,2024-09-02 00:01:27,397,0,1,9,0,0,1
27,2024-09-02 00:01:27,84,0,1,9,0,0,1
40,2024-09-02 00:01:27,13,0,1,9,0,0,1
12,2024-09-02 00:01:27,559,0,1,9,0,0,1
6,2024-09-02 00:01:28,54,0,1,9,0,0,1
30,2024-09-02 00:01:28,2,0,1,9,0,0,1
32,2024-09-02 00:01:28,4,0,1,9,0,0,1
34,2024-09-02 00:01:28,2,0,1,9,0,0,1
36,2024-09-02 00:01:28,3,0,1,9,0,0,1
28,2024-09-02 00:01:28,4,0,1,9,0,0,1
39,2024-09-02 00:01:28,4,0,1,9,0,0,1
29,2024-09-02 00:01:28,31,0,1,9,0,0,1
31,2024-09-02 00:01:28,8,0,1,9,0,0,1
33,2024-09-02 00:01:28,13,0,1,9,0,0,1
35,2024-09-02 00:01:28,12,0,1,9,0,0,1
37,2024-09-02 00:01:28,14,0,1,9,0,0,1
38,2024-09-02 00:01:28,17,0,1,9,0,0,1
22,2024-09-02 00:02:28,1458,0,2,9,0,0,1
13,2024-09-02 00:02:28,445,0,2,9,0,0,1
19,2024-09-02 00:02:28,628,0,2,9,0,0,1
4,2024-09-02 00:02:28,397,0,2,9,0,0,1
27,2024-09-02 00:02:28,84,0,2,9,0,0,1
40,2024-09-02 00:02:28,13,0,2,9,0,0,1
12,2024-09-02 00:02:28,559,0,2,9,0,0,1
6,2024-09-02 00:02:28,54,0,2,9,0,0,1
30,2024-09-02 00:02:28,2,0,2,9,0,0,1
32,2024-09-02 00:02:28,4,0,2,9,0,0,1
34,2024-09-02 00:02:28,2,0,2,9,0,0,1
36,2024-09-02 00:02:28,3,0,2,9,0,0,1
28,2024-09-02 00:02:28,4,0,2,9,0,0,1
39,2024-09-02 00:02:28,4,0,2,9,0,0,1
29,2024-09-02 00:02:29,31,0,2,9,0,0,1
31,2024-09-02 00:02:29,8,0,2,9,0,0,1
33,2024-09-02 00:02:29,13,0,2,9,0,0,1
35,2024-09-02 00:02:29,12,0,2,9,0,0,1
37,2024-09-02 00:02:29,14,0,2,9,0,0,1
38,2024-09-02 00:02:29,17,0,2,9,0,0,1
22,2024-09-02 00:03:29,1458,0,3,9,0,0,1
13,2024-09-02 00:03:29,445,0,3,9,0,0,1
19,2024-09-02 00:03:29,628,0,3,9,0,0,1
4,2024-09-02 00:03:29,397,0,3,9,0,0,1
27,2024-09-02 00:03:29,84,0,3,9,0,0,1
40,2024-09-02 00:03:29,13,0,3,9,0,0,1
12,2024-09-02 00:03:29,559,0,3,9,0,0,1
6,2024-09-02 00:03:29,54,0,3,9,0,0,1
30,2024-09-02 00:03:29,2,0,3,9,0,0,1
32,2024-09-02 00:03:29,4,0,3,9,0,0,1
34,2024-09-02 00:03:29,2,0,3,9,0,0,1
36,2024-09-02 00:03:29,3,0,3,9,0,0,1
28,2024-09-02 00:03:29,4,0,3,9,0,0,1
39,2024-09-02 00:03:29,4,0,3,9,0,0,1
29,2024-09-02 00:03:29,31,0,3,9,0,0,1
31,2024-09-02 00:03:29,8,0,3,9,0,0,1
33,2024-09-02 00:03:29,13,0,3,9,0,0,1
35,2024-09-02 00:03:29,12,0,3,9,0,0,1
37,2024-09-02 00:03:29,14,0,3,9,0,0,1
38,2024-09-02 00:03:29,17,0,3,9,0,0,1
22,2024-09-02 00:04:30,1458,0,4,9,0,0,1
13,2024-09-02 00:04:30,445,0,4,9,0,0,1
19,2024-09-02 00:04:30,628,0,4,9,0,0,1
4,2024-09-02 00:04:30,397,0,4,9,0,0,1
27,2024-09-02 00:04:30,84,0,4,9,0,0,1
40,2024-09-02 00:04:30,13,0,4,9,0,0,1
12,2024-09-02 00:04:30,559,0,4,9,0,0,1
6,2024-09-02 00:04:30,54,0,4,9,0,0,1
30,2024-09-02 00:04:30,2,0,4,9,0,0,1
32,2024-09-02 00:04:30,4,0,4,9,0,0,1
34,2024-09-02 00:04:30,2,0,4,9,0,0,1
36,2024-09-02 00:04:30,3,0,4,9,0,0,1
28,2024-09-02 00:04:30,4,0,4,9,0,0,1
39,2024-09-02 00:04:30,4,0,4,9,0,0,1
29,2024-09-02 00:04:30,31,0,4,9,0,0,1
31,2024-09-02 00:04:30,8,0,4,9,0,0,1
33,2024-09-02 00:04:30,13,0,4,9,0,0,1
35,2024-09-02 00:04:30,12,0,4,9,0,0,1
37,2024-09-02 00:04:30,14,0,4,9,0,0,1
38,2024-09-02 00:04:30,17,0,4,9,0,0,1
22,2024-09-02 00:05:31,1458,0,5,9,0,0,1
13,2024-09-02 00:05:31,445,0,5,9,0,0,1
19,2024-09-02 00:05:31,628,0,5,9,0,0,1
4,2024-09-02 00:05:31,397,0,5,9,0,0,1
27,2024-09-02 00:05:31,84,0,5,9,0,0,1
40,2024-09-02 00:05:31,13,0,5,9,0,0,1
12,2024-09-02 00:05:31,559,0,5,9,0,0,1
6,2024-09-02 00:05:31,54,0,5,9,0,0,1
30,2024-09-02 00:05:31,2,0,5,9,0,0,1
32,2024-09-02 00:05:31,4,0,5,9,0,0,1
34,2024-09-02 00:05:31,2,0,5,9,0,0,1
36,2024-09-02 00:05:31,3,0,5,9,0,0,1
28,2024-09-02 00:05:31,4,0,5,9,0,0,1
39,2024-09-02 00:05:31,4,0,5,9,0,0,1
29,2024-09-02 00:05:31,31,0,5,9,0,0,1
31,2024-09-02 00:05:31,8,0,5,9,0,0,1
33,2024-09-02 00:05:31,13,0,5,9,0,0,1
35,2024-09-02 00:05:31,12,0,5,9,0,0,1
37,2024-09-02 00:05:31,14,0,5,9,0,0,1
38,2024-09-02 00:05:31,17,0,5,9,0,0,1
22,2024-09-02 00:06:32,1458,0,6,9,0,0,1
13,2024-09-02 00:06:32,445,0,6,9,0,0,1
19,2024-09-02 00:06:32,628,0,6,9,0,0,1
4,2024-09-02 00:06:32,397,0,6,9,0,0,1
27,2024-09-02 00:06:32,84,0,6,9,0,0,1
40,2024-09-02 00:06:32,13,0,6,9,0,0,1
12,2024-09-02 00:06:32,559,0,6,9,0,0,1
6,2024-09-02 00:06:32,55,0,6,9,0,0,1
30,2024-09-02 00:06:32,2,0,6,9,0,0,1
32,2024-09-02 00:06:32,4,0,6,9,0,0,1
34,2024-09-02 00:06:32,2,0,6,9,0,0,1
36,2024-09-02 00:06:32,3,0,6,9,0,0,1
28,2024-09-02 00:06:32,4,0,6,9,0,0,1
39,2024-09-02 00:06:32,4,0,6,9,0,0,1
29,2024-09-02 00:06:32,31,0,6,9,0,0,1
31,2024-09-02 00:06:32,8,0,6,9,0,0,1
33,2024-09-02 00:06:32,13,0,6,9,0,0,1
35,2024-09-02 00:06:32,12,0,6,9,0,0,1
37,2024-09-02 00:06:32,14,0,6,9,0,0,1
38,2024-09-02 00:06:32,17,0,6,9,0,0,1
22,2024-09-02 00:07:33,1458,0,7,9,0,0,1
13,2024-09-02 00:07:33,445,0,7,9,0,0,1
19,2024-09-02 00:07:33,628,0,7,9,0,0,1
4,2024-09-02 00:07:33,397,0,7,9,0,0,1
27,2024-09-02 00:07:33,84,0,7,9,0,0,1
40,2024-09-02 00:07:33,13,0,7,9,0,0,1
12,2024-09-02 00:07:33,559,0,7,9,0,0,1
6,2024-09-02 00:07:33,55,0,7,9,0,0,1
30,2024-09-02 00:07:33,2,0,7,9,0,0,1
32,2024-09-02 00:07:33,4,0,7,9,0,0,1
34,2024-09-02 00:07:33,2,0,7,9,0,0,1
36,2024-09-02 00:07:33,3,0,7,9,0,0,1
28,2024-09-02 00:07:33,4,0,7,9,0,0,1
39,2024-09-02 00:07:33,4,0,7,9,0,0,1
29,2024-09-02 00:07:33,31,0,7,9,0,0,1
31,2024-09-02 00:07:33,8,0,7,9,0,0,1
33,2024-09-02 00:07:33,13,0,7,9,0,0,1
35,2024-09-02 00:07:33,12,0,7,9,0,0,1
37,2024-09-02 00:07:33,14,0,7,9,0,0,1
38,2024-09-02 00:07:33,17,0,7,9,0,0,1
22,2024-09-02 00:08:34,1458,0,8,9,0,0,1
13,2024-09-02 00:08:34,445,0,8,9,0,0,1
19,2024-09-02 00:08:34,628,0,8,9,0,0,1
4,2024-09-02 00:08:34,397,0,8,9,0,0,1
27,2024-09-02 00:08:34,84,0,8,9,0,0,1
40,2024-09-02 00:08:34,13,0,8,9,0,0,1
12,2024-09-02 00:08:34,559,0,8,9,0,0,1
6,2024-09-02 00:08:34,55,0,8,9,0,0,1
30,2024-09-02 00:08:34,2,0,8,9,0,0,1
32,2024-09-02 00:08:34,4,0,8,9,0,0,1
34,2024-09-02 00:08:34,2,0,8,9,0,0,1
36,2024-09-02 00:08:34,3,0,8,9,0,0,1
28,2024-09-02 00:08:34,4,0,8,9,0,0,1
39,2024-09-02 00:08:34,4,0,8,9,0,0,1
29,2024-09-02 00:08:34,31,0,8,9,0,0,1
31,2024-09-02 00:08:34,8,0,8,9,0,0,1
33,2024-09-02 00:08:34,13,0,8,9,0,0,1
35,2024-09-02 00:08:34,12,0,8,9,0,0,1
37,2024-09-02 00:08:34,14,0,8,9,0,0,1
38,2024-09-02 00:08:34,17,0,8,9,0,0,1
22,2024-09-02 00:09:34,1458,0,9,9,0,0,1
13,2024-09-02 00:09:34,445,0,9,9,0,0,1
19,2024-09-02 00:09:34,628,0,9,9,0,0,1
4,2024-09-02 00:09:34,397,0,9,9,0,0,1
27,2024-09-02 00:09:34,84,0,9,9,0,0,1
40,2024-09-02 00:09:35,13,0,9,9,0,0,1
12,2024-09-02 00:09:35,559,0,9,9,0,0,1
6,2024-09-02 00:09:35,55,0,9,9,0,0,1
30,2024-09-02 00:09:35,2,0,9,9,0,0,1
32,2024-09-02 00:09:35,4,0,9,9,0,0,1
34,2024-09-02 00:09:35,2,0,9,9,0,0,1
36,2024-09-02 00:09:35,3,0,9,9,0,0,1
28,2024-09-02 00:09:35,4,0,9,9,0,0,1
39,2024-09-02 00:09:35,4,0,9,9,0,0,1
29,2024-09-02 00:09:35,31,0,9,9,0,0,1
31,2024-09-02 00:09:35,8,0,9,9,0,0,1
33,2024-09-02 00:09:35,13,0,9,9,0,0,1
35,2024-09-02 00:09:35,12,0,9,9,0,0,1
37,2024-09-02 00:09:35,14,0,9,9,0,0,1
38,2024-09-02 00:09:35,17,0,9,9,0,0,1
22,2024-09-02 00:10:35,1458,0,10,9,0,0,1
13,2024-09-02 00:10:35,445,0,10,9,0,0,1
19,2024-09-02 00:10:35,628,0,10,9,0,0,1
4,2024-09-02 00:10:35,397,0,10,9,0,0,1
27,2024-09-02 00:10:35,84,0,10,9,0,0,1
40,2024-09-02 00:10:35,13,0,10,9,0,0,1
12,2024-09-02 00:10:35,559,0,10,9,0,0,1
6,2024-09-02 00:10:35,55,0,10,9,0,0,1
30,2024-09-02 00:10:35,2,0,10,9,0,0,1
32,2024-09-02 00:10:36,4,0,10,9,0,0,1
34,2024-09-02 00:10:36,2,0,10,9,0,0,1
36,2024-09-02 00:10:36,3,0,10,9,0,0,1
28,2024-09-02 00:10:36,4,0,10,9,0,0,1
39,2024-09-02 00:10:36,4,0,10,9,0,0,1
29,2024-09-02 00:10:36,31,0,10,9,0,0,1
31,2024-09-02 00:10:36,8,0,10,9,0,0,1
33,2024-09-02 00:10:36,13,0,10,9,0,0,1
35,2024-09-02 00:10:36,12,0,10,9,0,0,1
37,2024-09-02 00:10:36,14,0,10,9,0,0,1
38,2024-09-02 00:10:36,17,0,10,9,0,0,1
22,2024-09-02 00:11:36,1458,0,11,9,0,0,1
13,2024-09-02 00:11:36,445,0,11,9,0,0,1
19,2024-09-02 00:11:36,628,0,11,9,0,0,1
4,2024-09-02 00:11:36,397,0,11,9,0,0,1
27,2024-09-02 00:11:36,84,0,11,9,0,0,1
40,2024-09-02 00:11:36,13,0,11,9,0,0,1
12,2024-09-02 00:11:36,559,0,11,9,0,0,1
6,2024-09-02 00:11:36,55,0,11,9,0,0,1
30,2024-09-02 00:11:36,2,0,11,9,0,0,1
32,2024-09-02 00:11:36,4,0,11,9,0,0,1
34,2024-09-02 00:11:36,2,0,11,9,0,0,1
36,2024-09-02 00:11:36,3,0,11,9,0,0,1
28,2024-09-02 00:11:36,4,0,11,9,0,0,1
39,2024-09-02 00:11:36,4,0,11,9,0,0,1
29,2024-09-02 00:11:36,31,0,11,9,0,0,1
31,2024-09-02 00:11:36,8,0,11,9,0,0,1
33,2024-09-02 00:11:37,13,0,11,9,0,0,1
35,2024-09-02 00:11:37,12,0,11,9,0,0,1
37,2024-09-02 00:11:37,14,0,11,9,0,0,1
38,2024-09-02 00:11:37,17,0,11,9,0,0,1
22,2024-09-02 00:12:37,1458,0,12,9,0,0,1
13,2024-09-02 00:12:37,445,0,12,9,0,0,1
19,2024-09-02 00:12:37,628,0,12,9,0,0,1
4,2024-09-02 00:12:37,397,0,12,9,0,0,1
27,2024-09-02 00:12:37,84,0,12,9,0,0,1
40,2024-09-02 00:12:37,13,0,12,9,0,0,1
12,2024-09-02 00:12:37,559,0,12,9,0,0,1
6,2024-09-02 00:12:37,55,0,12,9,0,0,1
30,2024-09-02 00:12:37,2,0,12,9,0,0,1
32,2024-09-02 00:12:37,4,0,12,9,0,0,1
34,2024-09-02 00:12:37,2,0,12,9,0,0,1
36,2024-09-02 00:12:37,3,0,12,9,0,0,1
28,2024-09-02 00:12:37,4,0,12,9,0,0,1
39,2024-09-02 00:12:37,4,0,12,9,0,0,1
29,2024-09-02 00:12:37,31,0,12,9,0,0,1
31,2024-09-02 00:12:37,8,0,12,9,0,0,1
33,2024-09-02 00:12:37,13,0,12,9,0,0,1
35,2024-09-02 00:12:37,12,0,12,9,0,0,1
37,2024-09-02 00:12:37,14,0,12,9,0,0,1
38,2024-09-02 00:12:37,17,0,12,9,0,0,1
22,2024-09-02 00:13:38,1458,0,13,9,0,0,1
13,2024-09-02 00:13:38,445,0,13,9,0,0,1
19,2024-09-02 00:13:38,628,0,13,9,0,0,1
4,2024-09-02 00:13:38,397,0,13,9,0,0,1
27,2024-09-02 00:13:38,84,0,13,9,0,0,1
40,2024-09-02 00:13:38,13,0,13,9,0,0,1
12,2024-09-02 00:13:38,559,0,13,9,0,0,1
6,2024-09-02 00:13:38,55,0,13,9,0,0,1
30,2024-09-02 00:13:38,2,0,13,9,0,0,1
32,2024-09-02 00:13:38,4,0,13,9,0,0,1
34,2024-09-02 00:13:38,2,0,13,9,0,0,1
36,2024-09-02 00:13:38,3,0,13,9,0,0,1
28,2024-09-02 00:13:38,4,0,13,9,0,0,1
39,2024-09-02 00:13:38,4,0,13,9,0,0,1
29,2024-09-02 00:13:38,31,0,13,9,0,0,1
31,2024-09-02 00:13:38,8,0,13,9,0,0,1
33,2024-09-02 00:13:38,13,0,13,9,0,0,1
35,2024-09-02 00:13:38,12,0,13,9,0,0,1
37,2024-09-02 00:13:38,14,0,13,9,0,0,1
38,2024-09-02 00:13:38,17,0,13,9,0,0,1
22,2024-09-02 00:14:39,1458,0,14,9,0,0,1
13,2024-09-02 00:14:39,445,0,14,9,0,0,1
19,2024-09-02 00:14:39,628,0,14,9,0,0,1
4,2024-09-02 00:14:39,397,0,14,9,0,0,1
27,2024-09-02 00:14:39,84,0,14,9,0,0,1
40,2024-09-02 00:14:39,13,0,14,9,0,0,1
12,2024-09-02 00:14:39,559,0,14,9,0,0,1
6,2024-09-02 00:14:39,55,0,14,9,0,0,1
30,2024-09-02 00:14:39,2,0,14,9,0,0,1
32,2024-09-02 00:14:39,4,0,14,9,0,0,1
34,2024-09-02 00:14:39,2,0,14,9,0,0,1
36,2024-09-02 00:14:39,3,0,14,9,0,0,1
28,2024-09-02 00:14:39,4,0,14,9,0,0,1
39,2024-09-02 00:14:39,4,0,14,9,0,0,1
29,2024-09-02 00:14:39,31,0,14,9,0,0,1
31,2024-09-02 00:14:39,8,0,14,9,0,0,1
33,2024-09-02 00:14:39,13,0,14,9,0,0,1
35,2024-09-02 00:14:39,12,0,14,9,0,0,1
37,2024-09-02 00:14:39,14,0,14,9,0,0,1
38,2024-09-02 00:14:39,17,0,14,9,0,0,1
22,2024-09-02 00:15:40,1458,0,15,9,0,0,1
13,2024-09-02 00:15:40,445,0,15,9,0,0,1
19,2024-09-02 00:15:40,628,0,15,9,0,0,1
4,2024-09-02 00:15:40,397,0,15,9,0,0,1
27,2024-09-02 00:15:40,84,0,15,9,0,0,1
40,2024-09-02 00:15:40,13,0,15,9,0,0,1
12,2024-09-02 00:15:40,559,0,15,9,0,0,1
6,2024-09-02 00:15:40,55,0,15,9,0,0,1
30,2024-09-02 00:15:40,2,0,15,9,0,0,1
32,2024-09-02 00:15:40,4,0,15,9,0,0,1
34,2024-09-02 00:15:40,2,0,15,9,0,0,1
36,2024-09-02 00:15:40,3,0,15,9,0,0,1
28,2024-09-02 00:15:40,4,0,15,9,0,0,1
39,2024-09-02 00:15:40,4,0,15,9,0,0,1
29,2024-09-02 00:15:40,31,0,15,9,0,0,1
31,2024-09-02 00:15:40,8,0,15,9,0,0,1
33,2024-09-02 00:15:40,13,0,15,9,0,0,1
35,2024-09-02 00:15:40,12,0,15,9,0,0,1
37,2024-09-02 00:15:40,14,0,15,9,0,0,1
38,2024-09-02 00:15:40,17,0,15,9,0,0,1
22,2024-09-02 00:16:41,1458,0,16,9,0,0,1
13,2024-09-02 00:16:41,445,0,16,9,0,0,1
19,2024-09-02 00:16:41,628,0,16,9,0,0,1
4,2024-09-02 00:16:41,397,0,16,9,0,0,1
27,2024-09-02 00:16:41,84,0,16,9,0,0,1
40,2024-09-02 00:16:41,13,0,16,9,0,0,1
12,2024-09-02 00:16:41,559,0,16,9,0,0,1
6,2024-09-02 00:16:41,55,0,16,9,0,0,1
30,2024-09-02 00:16:41,2,0,16,9,0,0,1
32,2024-09-02 00:16:41,4,0,16,9,0,0,1
34,2024-09-02 00:16:41,2,0,16,9,0,0,1
36,2024-09-02 00:16:41,3,0,16,9,0,0,1
28,2024-09-02 00:16:41,4,0,16,9,0,0,1
39,2024-09-02 00:16:41,4,0,16,9,0,0,1
29,2024-09-02 00:16:41,31,0,16,9,0,0,1
31,2024-09-02 00:16:41,8,0,16,9,0,0,1
33,2024-09-02 00:16:41,13,0,16,9,0,0,1
35,2024-09-02 00:16:41,12,0,16,9,0,0,1
37,2024-09-02 00:16:41,14,0,16,9,0,0,1
38,2024-09-02 00:16:41,17,0,16,9,0,0,1
22,2024-09-02 00:17:41,1458,0,17,9,0,0,1
13,2024-09-02 00:17:41,445,0,17,9,0,0,1
19,2024-09-02 00:17:41,628,0,17,9,0,0,1
4,2024-09-02 00:17:42,396,0,17,9,0,0,1
27,2024-09-02 00:17:42,84,0,17,9,0,0,1
40,2024-09-02 00:17:42,13,0,17,9,0,0,1
12,2024-09-02 00:17:42,559,0,17,9,0,0,1
6,2024-09-02 00:17:42,55,0,17,9,0,0,1
30,2024-09-02 00:17:42,2,0,17,9,0,0,1
32,2024-09-02 00:17:42,4,0,17,9,0,0,1
34,2024-09-02 00:17:42,2,0,17,9,0,0,1
36,2024-09-02 00:17:42,3,0,17,9,0,0,1
28,2024-09-02 00:17:42,4,0,17,9,0,0,1
39,2024-09-02 00:17:42,4,0,17,9,0,0,1
29,2024-09-02 00:17:42,31,0,17,9,0,0,1
31,2024-09-02 00:17:42,8,0,17,9,0,0,1
33,2024-09-02 00:17:42,13,0,17,9,0,0,1
35,2024-09-02 00:17:42,12,0,17,9,0,0,1
37,2024-09-02 00:17:42,14,0,17,9,0,0,1
38,2024-09-02 00:17:42,17,0,17,9,0,0,1
22,2024-09-02 00:18:42,1458,0,18,9,0,0,1
13,2024-09-02 00:18:42,445,0,18,9,0,0,1
19,2024-09-02 00:18:42,628,0,18,9,0,0,1
4,2024-09-02 00:18:42,396,0,18,9,0,0,1
27,2024-09-02 00:18:43,84,0,18,9,0,0,1
40,2024-09-02 00:18:43,13,0,18,9,0,0,1
12,2024-09-02 00:18:43,559,0,18,9,0,0,1
6,2024-09-02 00:18:43,55,0,18,9,0,0,1
30,2024-09-02 00:18:43,2,0,18,9,0,0,1
32,2024-09-02 00:18:43,4,0,18,9,0,0,1
34,2024-09-02 00:18:43,2,0,18,9,0,0,1
36,2024-09-02 00:18:43,3,0,18,9,0,0,1
28,2024-09-02 00:18:43,4,0,18,9,0,0,1
