Date,Ash Wednesday,Commencement,Easter Sunday,Exam Week,Fall Break,Family Weekend,Home Football Game,Home Football Game (Homecoming),Independence Day,Juneteenth,Labor Day,Martin Luther King Jr. Day,Memorial Day,Spring Break,St. Patrick&#39;s Day,Thanksgiving Break,Winter Break
01/01/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
01/20/2025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03/05/2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/10/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/11/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/12/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/13/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/14/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/15/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/15/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/16/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/16/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/17/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/17/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
03/18/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/19/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/20/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/21/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03/22/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
04/20/2025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/08/2025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/2025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
05/10/2025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
05/11/2025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
05/12/2025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
05/13/2025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
05/14/2025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
05/15/2025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/16/2025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/17/2025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/26/2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
05/27/2024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
06/19/2024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
06/19/2025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
07/04/2024,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
07/04/2025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
09/02/2024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
09/07/2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09/27/2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
09/28/2024,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
09/29/2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10/10/2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10/16/2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10/17/2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10/18/2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10/19/2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10/20/2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10/26/2024,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11/09/2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11/25/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11/26/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11/27/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11/28/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11/29/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11/30/2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12/09/2024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12/13/2024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/15/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/16/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/17/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/18/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/19/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/20/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/21/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/22/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/23/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/24/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/25/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/26/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/27/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/28/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/29/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/30/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/31/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
