Date,Ash Wednesday,Commencement,Easter Sunday,Exam Week,Fall Break,Family Weekend,Home Football Game,Home Football Game (Homecoming),Labor Day,Martin Luther King Jr. Day,Spring Break,St. Patrick&#39;s Day,Thanksgiving Break,Winter Break
1/1/25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/1/26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/2/26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/3/26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/4/26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/19/26,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1/20/25,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2/18/26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/16/25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/17/25,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3/18/25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/19/25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/20/25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/21/25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/22/25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4/20/25,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5/8/25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/9/25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/10/25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/11/25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/12/25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/13/25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/14/25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/15/25,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5/16/25,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5/17/25,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5/26/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/19/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/19/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/4/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/4/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/25,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9/2/24,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9/7/24,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9/26/25,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9/27/24,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9/27/25,0,0,0,0,0,1,0,0,0,0,0,0,0,0
